N,종목명,현재가,전일비,등락률,액면가,고가,저가,ROA
51.0,현대글로비스,160800.0,800.0,+0.50%,500.0,162200.0,160300.0,6.79
52.0,한국조선해양,84900.0,100.0,+0.12%,5000.0,85600.0,84100.0,-4.34
53.0,F&F,149600.0,1900.0,+1.29%,100.0,150700.0,148400.0,
54.0,SK바이오사이언스,72700.0,2100.0,+2.97%,500.0,73600.0,71000.0,26.58
55.0,LG디스플레이,15220.0,560.0,+3.82%,5000.0,15300.0,14690.0,3.64
56.0,삼성엔지니어링,27550.0,800.0,+2.99%,5000.0,27900.0,26900.0,6.49
57.0,메리츠화재,51600.0,0.0,0.00%,500.0,0.0,0.0,2.49
58.0,메리츠금융지주,42000.0,200.0,-0.47%,500.0,42500.0,41800.0,1.83
59.0,SK바이오팜,67900.0,1700.0,+2.57%,500.0,68800.0,66300.0,11.34
60.0,넷마블,61200.0,4600.0,+8.13%,100.0,61500.0,57200.0,2.64
61.0,SK스퀘어,37150.0,800.0,+2.20%,100.0,37200.0,36500.0,
62.0,맥쿼리인프라,12510.0,10.0,-0.08%,0.0,12530.0,12490.0,
63.0,삼성중공업,5720.0,10.0,+0.18%,1000.0,5780.0,5680.0,-11.59
64.0,TIGER CD금리투자KIS(합성),51930.0,20.0,+0.04%,0.0,51930.0,51920.0,
65.0,CJ제일제당,329000.0,500.0,-0.15%,5000.0,331500.0,327500.0,3.4
66.0,오리온,124300.0,800.0,+0.65%,500.0,124700.0,122800.0,9.11
67.0,HD현대,61800.0,700.0,+1.15%,1000.0,62200.0,61100.0,0.6
68.0,한온시스템,9130.0,290.0,+3.28%,100.0,9240.0,8830.0,3.87
69.0,DB손해보험,67500.0,400.0,+0.60%,500.0,67600.0,66700.0,1.4
70.0,LG유플러스,10840.0,70.0,-0.64%,5000.0,10890.0,10690.0,3.84
71.0,SK아이이테크놀로지,66100.0,4300.0,+6.96%,1000.0,66400.0,62700.0,3.68
72.0,현대제철,34700.0,150.0,+0.43%,5000.0,34900.0,34250.0,4.19
73.0,한국타이어앤테크놀로지,37350.0,250.0,+0.67%,500.0,37850.0,37100.0,5.41
74.0,한국항공우주,47050.0,450.0,+0.97%,5000.0,47500.0,46750.0,0.97
75.0,미래에셋증권,7390.0,430.0,+6.18%,5000.0,7390.0,7010.0,0.96
76.0,강원랜드,21200.0,100.0,+0.47%,500.0,21300.0,21100.0,-0.28
77.0,한화에어로스페이스,87700.0,600.0,+0.69%,5000.0,88900.0,86100.0,2.94
78.0,코웨이,56700.0,300.0,+0.53%,500.0,57500.0,56400.0,13.63
79.0,금호석유,141700.0,300.0,-0.21%,5000.0,143000.0,140400.0,29.91
80.0,현대건설,36700.0,500.0,+1.38%,5000.0,36900.0,36400.0,2.95
81.0,메리츠증권,6570.0,40.0,-0.61%,1000.0,6670.0,6500.0,1.58
82.0,포스코인터내셔널,22850.0,500.0,+2.24%,5000.0,23100.0,22400.0,3.73
83.0,유한양행,51700.0,200.0,-0.39%,1000.0,52100.0,51500.0,4.08
84.0,GS,42400.0,800.0,-1.85%,5000.0,43100.0,42250.0,5.8
85.0,두산밥캣,37200.0,350.0,+0.95%,500.0,37450.0,36900.0,4.97
86.0,삼성카드,30600.0,0.0,0.00%,5000.0,30900.0,30550.0,2.18
87.0,아모레G,42400.0,300.0,-0.70%,500.0,43450.0,42150.0,3.69
88.0,SKC,91600.0,1900.0,+2.12%,5000.0,92200.0,90000.0,5.91
89.0,현대차2우B,94600.0,1200.0,+1.28%,5000.0,95100.0,93200.0,
90.0,한국금융지주,61800.0,1500.0,+2.49%,5000.0,61900.0,60300.0,2.31
91.0,한미약품,272500.0,3500.0,-1.27%,2500.0,278000.0,271500.0,4.27
92.0,현대오토에버,119600.0,400.0,-0.33%,500.0,120900.0,118700.0,4.17
93.0,이마트,116200.0,700.0,+0.61%,5000.0,117800.0,115500.0,5.93
94.0,롯데지주,30750.0,100.0,-0.32%,200.0,31250.0,30700.0,0.82
95.0,호텔신라,80900.0,700.0,+0.87%,5000.0,81400.0,80200.0,0.98
96.0,팬오션,5930.0,110.0,-1.82%,1000.0,6120.0,5910.0,9.86
